Forest Name,Forest State,Forest URL,Forest ID
H. J. Andrews EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112606,112606
Heen Latinee EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112605,112605
Long Valley EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112210,112210
Manitou EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112211,112211
Manti-La Sal National Forest,Colorado,https://www.fs.fed.us/sopa/forest-level.php?110410,110410
Maybeso EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112607,112607
Medicine Bow-Routt National Forest,Colorado,https://www.fs.fed.us/sopa/forest-level.php?110206,110206
Olympic Exp. State Forest,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112608,112608
Pike and San Isabel National Forests and Cimarron and Comanche National Grasslands,Colorado,https://www.fs.fed.us/sopa/forest-level.php?110212,110212
Priest River EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112212,112212
Pringle Falls EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112609,112609
Rio Grande National Forest,Colorado,https://www.fs.fed.us/sopa/forest-level.php?110209,110209
San Juan National Forest,Colorado,https://www.fs.fed.us/sopa/forest-level.php?110213,110213
Sierra Ancha ER,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112213,112213
South Umpqua EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112610,112610
Starkey EF&R,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112611,112611
Tenderfoot Creek EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112214,112214
White River National Forest,Colorado,https://www.fs.fed.us/sopa/forest-level.php?110215,110215
Wind River EF,Colorado,https://www.fs.fed.us/sopa/forest-level.php?112612,112612
National Forests In Florida,Florida,https://www.fs.fed.us/sopa/forest-level.php?110805,110805
Chattahoochee-Oconee National Forests,Georgia,https://www.fs.fed.us/sopa/forest-level.php?110803,110803
Boise National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110402,110402
Caribou-Targhee National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110415,110415
Idaho Panhandle National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110104,110104
Kootenai National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110114,110114
Nez Perce-Clearwater National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110117,110117
Payette National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110412,110412
Salmon-Challis National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110413,110413
Sawtooth National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110414,110414
Wallowa-Whitman National Forest,Idaho,https://www.fs.fed.us/sopa/forest-level.php?110616,110616
Midewin National Tallgrass Prairie,Illinois,https://www.fs.fed.us/sopa/forest-level.php?110915,110915
Shawnee National Forest,Illinois,https://www.fs.fed.us/sopa/forest-level.php?110908,110908
Hoosier National Forest,Indiana,https://www.fs.fed.us/sopa/forest-level.php?110912,110912
Pike and San Isabel National Forests and Cimarron and Comanche National Grasslands,Kansas,https://www.fs.fed.us/sopa/forest-level.php?110212,110212
